Tanggal;Username;Clean Dataset
2022-02-21 00:17:31+00:00;diskominfolebak;reposted from id nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia
2022-02-20 23:30:01+00:00;asumsico;presiden joko widodo jokowi kepala wakil kepala otorita ibu kota negara ikn nusantara februari beliau pilih ridwan kamil ahok ada nama
2022-02-20 21:20:58+00:00;lebakkab;suka repost ig id nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia bagai pusat gravitasi baru indonesia ikn bentuk
2022-02-20 15:35:00+00:00;RadioElshinta;nama nusantara ibu kota negara republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia via lengkap
2022-02-20 06:50:43+00:00;JengkolMayo;gara jokowi bangun ikn kaltim dadak nama akun ganti bau kalimantan buzzerp asu ye buzzerp asu aje tidak ngaku rakyat kalimantan
2022-02-20 03:30:01+00:00;KerjaHasil_id;liput media internasional nusantara ibu kota baru republik indonesia media internasional sorot putus presiden joko widodo pindah ibu kota negara ikn alas letak nama baru nusantara
2022-02-20 03:06:04+00:00;PujanggaSangpu;nama nusantara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia realitas kaya majemuk indonesia jadi modal sosial maju sejahtera rakyat indonesia maju tangguh lanjut
2022-02-20 02:25:28+00:00;suaradotcom;presiden jokowi kantong nama calon kepala otorita ibu kota negara ikn kepala otorita ikn pilih jokowi
2022-02-19 14:43:05+00:00;_riverheaven;undang undang ibu negara undang ikn jadi dasar bangun ikn kalimantan timur nama nusantara representasi konsep satu akomodasi kaya majemuk indonesia indonesia maju
2022-02-19 09:09:05+00:00;mang_ib;menteri ppn kepala bappenas suharso monoarfa bangun ikn usung kota dunia jadi adab baru indonesia nama nusantara ibu kota negara republik indonesia representasi konsep satu
2022-02-19 08:26:46+00:00;RatnoWistu;
2022-02-19 06:21:57+00:00;okezonenews;kantong nama kepala otorita ikn nusantara jokowi umum april lengkapcepatberitanya uang ekonomi infoproperty property
2022-02-19 06:09:46+00:00;Joelboom3;dewan wakil rakyat sidang ulang ibukota batal pindah kalimantan andara nama ikn daerah khusus ibu kota nagita slavina
2022-02-19 04:48:31+00:00;anabelaja;nusantara jadi nama ikn transformasi bangkit nusantara
2022-02-19 04:28:54+00:00;QimThayil;wakil ketua komisi ii dewan wakil rakyat republik indonesia luqman hakim presiden jokowi sudah kantong nama tokoh jadi kepala otorita ikn nusantara
2022-02-19 02:15:51+00:00;news_wanheart;jokowi kantong nama kepala otorita ikn bocor
2022-02-19 01:58:57+00:00;RoyWira3;nama rk masuk radar aduh jangan rk deh bangun kolam renang sampe milyaran belum sudah jelek nyoman estimasi bangun ikn nama kepala otorita ikn saku jokowi
2022-02-19 01:23:29+00:00;TreiNews;nama kepala otorita ikn saku jokowi
2022-02-19 01:21:44+00:00;PorosJ;presiden jokowi kantong nama pimpin otorita ibu kota negara ikn baru belum ungkap publik
2022-02-19 01:15:18+00:00;SiiZek;nama kepala otorita ikn saku jokowi nitip nama tangkapmafiapangan tangkapmafiapangan
2022-02-19 00:50:23+00:00;GamersHcds;nama ikn salah kecuali nama khilafa hilang sudah indonesia kadrun kadrun bego kembang
2022-02-19 00:22:02+00:00;armani_firman;dar kantong bukan info nama tsb ada kantong presiden karena presiden wenang tentu nama kepala otorita ikn kalau presiden sebut nama baru masuk kategori info berita
2022-02-18 18:40:19+00:00;hfz_azman;jom isi perut dulu ikn esok ada kenduri pakai nama mak lepas makan gerak
2022-02-18 17:51:06+00:00;wow_keren;jokowi kantong nama kepala otorita ikn nusantara bocor nasional
2022-02-18 15:30:00+00:00;matamilenialID;nama kepala otorita ikn sudah kantong presiden jokowi bocor baca lengkap mataindonesia kepalaotoritaikn iknnusantara jokowi
2022-02-18 15:27:04+00:00;TangselTerbaru;presiden jokowi sudah kantong nama kepala otorita ikn nusantara luqman orang percaya
2022-02-18 13:59:03+00:00;wahananewsdotco;nama kepala otorita ikn sudah saku jokowi bocor
2022-02-18 13:48:40+00:00;wahyukencono;ikn baru indonesia nama nusantara netizen nama ibu kota nya suku kata maksimal suku kata gampang mudah sebut wait wait wait
2022-02-18 13:43:09+00:00;Khalfani_co_id;wandy tuturoong presiden jokowi umum nama kepala otorita ikn
2022-02-18 12:21:03+00:00;indozonemedia;wakil ketua komisi ii dewan wakil rakyat republik indonesia luqman hakim presiden jokowi sudah kantong nama jadi kepala otorita ikn nusantara
2022-02-18 12:16:41+00:00;BimataIndonesia;luqman hakim presiden jokowi sudah kantong nama kepala otorita ikn nusantara
2022-02-18 12:16:03+00:00;jpnncom;luqman hakim klaim nama kepala otorita ikn nusantara sudah saku jokowi sosok jokowi
2022-02-18 11:57:10+00:00;SonoraFM92;beritasonora nama kepala badan otorita ikn nusantara sudah kantong presiden jokowi maret april umum
2022-02-18 11:07:21+00:00;YuniarWiranto;ikn belum wujud eee sudah ada nama kepala otoritanya
2022-02-18 10:18:14+00:00;T_IndonesiaPost;presiden joko widodo kabar umum nama kepala badan otorita ibu kota negara nusantara maret april pilih kepala otorita ikn nusantara sepenuh tangan presiden jokowi
2022-02-18 10:11:38+00:00;PutraErlangga95;cobak tebak netizen siape jokowi sudah kantong nama kepala otorita ikn bocor
2022-02-18 10:09:28+00:00;kabarmedancom;nama kepala otorita ikn nusantara sudah kantong presiden jokowi
2022-02-18 09:53:32+00:00;liputan6dotcom;jokowi umum nama calon kepala otorita ikn maret april
2022-02-18 09:49:32+00:00;VIVAcoid;jokowi sudah kantong nama kepala otorita ikn bocor
2022-02-18 09:10:00+00:00;SINDOnews;dewan wakil rakyat jokowi sudah kantong nama calon kepala otorita ikn
2022-02-18 08:59:08+00:00;RickyDiningrat1;bearti jls alsan jokowi pindah ikn nama nusantra tidak ada untung nya rakyat pribumi ada jokowi buka ruwang china menguwasai negara jokowi lbp hukum
2022-02-18 08:56:15+00:00;RepelitaO;dewan wakil rakyat nama kepala otorita ikn nusantara sudah saku jokowi ya
2022-02-18 08:44:03+00:00;eDzulfikar;dude yes pns dukung perintah iknnya mbak elisa bilang filosofi ikn pengaruh orang jawa karena jokowi orang jawa ya jawasentris nama nusantara panggil daerah luar negara agung majapahit ayo ayo fokus kalau jadi asrot
2022-02-18 08:41:29+00:00;eranasionalcom;presiden jokowi kabar sudah kantong nama kepala otoritas ikn nusantara kata dewan wakil rakyat republik indonesia
2022-02-18 08:14:02+00:00;bemsvipb;tidak persiden republik indonesia joko widodo sudah nama ikn nusantara bijak putus timbul pro kontra aspek nasional jelas
2022-02-18 08:06:06+00:00;merdekadotcom;nama kepala otorita ikn sudah saku jokowi bocor
2022-02-18 06:58:47+00:00;kontenislam_com;komisi ii dewan wakil rakyat nama kepala otorita ikn nusantara sudah saku jokowi
2022-02-18 06:53:23+00:00;diskominfomedan;sobatmedan nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia indonesia
2022-02-18 06:52:31+00:00;pemko_medan;sobatmedan nama nusantara ibu kota negara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia indonesia
2022-02-18 06:46:47+00:00;Wandystjk;komisi ii dewan wakil rakyat nama kepala otorita ikn nusantara sudah saku jokowi jadi penasaran ya mudah mudah ahok amin
2022-02-18 06:45:00+00:00;democrazymedia;dewan wakil rakyat nama kepala otorita ikn nusantara sudah saku jokowi ya
2022-02-18 06:30:18+00:00;IndonesiaBaikId;hai sohib nama nusantara ibukotanegara republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia indonesiabaik yangmudasukadata ikn uuikn kotaduniauntuksemua kalimantantimur kominfonewsroom
2022-02-18 06:29:42+00:00;JUMAILIS_;yaahhh kalau mah doang baca pikirin anak sekolah dasar negara kalau nama ibu kota thailandnegara bangkok sudah lagikasih bangkok bagai namo ikn
2022-02-18 06:28:53+00:00;BizlawIndonesia;nama kepala otorita ikn baru sudah saku jokowi komisi ii dewan wakil rakyat sosok senior alam
2022-02-18 06:25:19+00:00;Pillowtalk___;alhamdullilah tidak ada protes tolakibukotabaru wakil ketua komisi ii dewan wakil rakyat luqman hakim presiden jokowi sudah kantong nama kepala otorita pimpin ikn baru
2022-02-18 05:17:56+00:00;chanjoeck;netizen indonesia sih bangkok ganti nama urus suka suka calon ikn baru nama nusantara bule bule tidak ribet nih budaya netijen indonesia suka banget ngurusin orang shut the fvck up
2022-02-18 05:00:31+00:00;SemartaraN;thailand ganti nama ikn
2022-02-18 04:36:27+00:00;ikn_id;nama nusantara ibu kota negara republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia uuikn kotaduniauntuksemua
2022-02-18 02:16:49+00:00;didihusadi;teken beri nomor resmi undang ikn sudah aju jr mk jalan liku nama sejahtera rakyat moga republik indonesia tidak mkn tinggal korsel beda merdeka hariyaa allah pimpin baik baik
2022-02-18 00:31:05+00:00;Teukumi;dki aj ganti nama ikn tidak pndh
2022-02-17 16:13:42+00:00;martabaya;sebut nama nama ikn
2022-02-17 12:41:41+00:00;antaranews;nama nusantara ikn republik indonesia representasi konsep satu akomodasi kaya majemuk indonesia kata menteri suharso ikn nusantara
2022-02-17 09:56:16+00:00;Outstandjing;keren nama ikn
2022-02-17 08:40:32+00:00;EsTeh__28;ganti nama nga pakai biaya kaya mimdahin ikn biaya nya jibun
2022-02-17 05:23:54+00:00;batamtoday;jadi nama ikn puan nusantara jadi wajah maju indonesia
2022-02-17 01:51:59+00:00;anak_regina;harap masyarakat tetap nusantara bagai nama ibu kota baru kesah undang ikn satu nusantara kuat
2022-02-17 01:43:24+00:00;princes66934439;harap masyarakat tetap nusantara bagai nama ibu kota baru kesah undang ikn bawa maju sejahtera bangsa indonesia
2022-02-16 23:48:03+00:00;AndiNur56441665;tahun hadap masalah harga bbm dalih ganti nama ikut kbutuhan pokok msih antri minyak tpi blue print ikn sudh kluar lbih dulu tmbah jht bansos korupsi pdhal pandemi bangsat gimana ikn jht
2022-02-16 16:26:10+00:00;kesiurangin;ribet nama apresiasi nama ikn nusantara budaya nusantara melayu jawa nama kerta pura nama ibukota
2022-02-16 07:01:27+00:00;PrasieOet;sempat ne tinggi nama lgikemarin sudah pimpin sah scra n super kilat undang iknapa bsa dsna nasi dah jadi bubur
2022-02-16 03:13:31+00:00;AlloEdwar;harap masyarakat tetap nusantara bagai nama ibu kota baru kesah undang ikn bawa maju sejahtera bangsa indonesia nusantara miniatur indonesia
2022-02-16 02:03:48+00:00;Dhox_TEEMGE;kampanye periode kumpul koalisi aborsi undang lama undang baru nama penting rakyat supaya gunting pita ikn baru nama rakyat rakyat
2022-02-14 22:45:51+00:00;remabgas;warga kalimantan tepat najam jamin lahan ibukota baru bukan hutan perawan tidak paham ama argumentasi orang nolak pindah ikn nama hutan dasar
2022-02-14 06:55:21+00:00;RickyPerdana06;yakarta nama ikn baru
